username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
RamirezCoach,"Believer, Husband, Father, Football coach, Cowboys lifer. live in the greatest state in the greatest country in the history of the world!  #WCPR","Frisco, TX",809,307,4029,2014-05-22 14:28:03,2020-11-13 15:27:10,2,@Matt_Stepp817 @RamirezCoach Embedded in the article is a section titled “Start acting like high school athletes”https://t.co/FlwYoOUWzm,[]
vijayvaani,"Opinions on website are not necessarily subscribed or endorsed by the website. Tweets are personal reactions to unfolding events. Sandhya Jain, Editor","New Delhi, India",118,6158,77388,2012-04-01 08:58:11,2020-11-13 15:27:10,47,"There appears to be a glitch in the simulation!

@ElonMusk has called into question the authenticity of #COVID19 tests, after claiming that results showed he tested positive twice and then negative twice – all on the same day 

https://t.co/SjSqJ3kspS https://t.co/VIJLi07yrt","[{'text': 'COVID19', 'indices': [116, 124]}]"
Chase71679657,"Following news, politics, investments, AI, and more Tesla",,21,0,1,2020-02-05 14:06:48,2020-11-13 15:27:10,0,"@elonmusk Kick it's butt man, if you do have it.
Two weeks ago a co-worker of mine drank old milk, vomited, was then forced to test for covid-19, tested positive, never noticed any other symptom while in quarantine at home the next 2 weeks.",[]
suesueh26,,,106,17,16525,2009-03-02 21:39:39,2020-11-13 15:27:10,496,"Please, don't travel for the Holidays. We are at the very beginning of a gargantuan surge in #COVID19 in the U.S. https://t.co/RXzJOlEIPn","[{'text': 'COVID19', 'indices': [113, 121]}]"
CatalystCPD,"A non-profit social enterprise providing counselling and training around Lowestoft, Yarmouth and surrounding towns.
Phone 01502 516957",East Anglia,401,317,578,2013-09-23 16:58:42,2020-11-13 15:27:10,1,"Small acts of kindness can make a world of difference, especially in times of crisis #Covid19.

This #WorldKindessDay think about who needs your kindness today, says UKCP psychotherapist @fejrobinson Read her blog here: https://t.co/fSIJsnxTkR #BeKind #Pandemic","[{'text': 'Covid19', 'indices': [103, 111]}, {'text': 'WorldKindessDay', 'indices': [119, 135]}]"
CLE_Reason,"News, updates and articles for CLE Sports! Contact: Zach@CLEsportsTalk.com. Follow Main: @CLEsportsTalk","Cleveland, Ohio",10045,9549,2439,2019-10-27 00:39:45,2020-11-13 15:27:10,0,No word yet on the status of Sunday's game: https://t.co/h8ygjzrFG1,[]
amizere,"Worked as a Journalist for 20 yrs & now a Storyteller with Television background who loves the World & Malawi, the Warm Heart of Africa.  RTs not an endorsement",Malawi,6672,12670,130674,2010-01-09 09:03:12,2020-11-13 15:27:10,1,Thanks #Malawi your handmade bags are coming in handy in our lab during #COVID19 for storing our lab coats. @UofGDeanGlobal @LAZARUSCHAKWERA @AndrewPWaters @mphondak @amizere @MipandoMwapa @UKinMalawi @WilMandala 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇲🇼 https://t.co/9yXMJVNTfy,"[{'text': 'Malawi', 'indices': [24, 31]}, {'text': 'COVID19', 'indices': [89, 97]}]"
betPawaZM,,,7,1435,350,2017-07-25 08:53:10,2020-11-13 15:27:10,0,"BREAKING: The Egyptian FA confirms Mo Salah has tested positive for COVID-19

Get well soon 🙏 https://t.co/sddiuz4tT9",[]
peggyd6710,"I am Christian, patriotic.  I hate lies, corruption, theft and greed. Everything our politians have turned into.","Mississippi, USA",5378,5059,196908,2015-12-02 16:22:30,2020-11-13 15:27:10,77,"Do you personally know anyone that has contracted COVID-19? 

No names, just yes or no.",[]
Flag19591,Devoted Dad and Grandpa Proud Lefty. Why we are too stupid to protect our planet? Vote Blue to End This Madness #TrumpIsAnIdiot #TrumpLiesPeopleDie #BLM,"Wisconsin, USA",5989,5890,35657,2018-12-19 00:50:45,2020-11-13 15:27:10,496,"Please, don't travel for the Holidays. We are at the very beginning of a gargantuan surge in #COVID19 in the U.S. https://t.co/RXzJOlEIPn","[{'text': 'COVID19', 'indices': [113, 121]}]"
Juggybee,"Commercial laundry engineer, LFC fanatic since the 70’s, and F1 fan, proud dad to two Sons. #jft96 #dontbuythesun","Leicester, England",247,125,2324,2009-02-27 16:45:20,2020-11-13 15:27:10,0,https://t.co/yE9gi7o1hR Just what we needed....,[]
ynmzln14,,,1148,1034,120314,2011-11-06 14:43:48,2020-11-13 15:27:10,3772,"Small wedding. 55 attendees.
Temperature taken at entrance. No fevers reported.

Later, 177 infected.
7 died — and they didn’t even attend the wedding. https://t.co/n0xsPCqMi2",[]
DrOlusesan,"Geologist▪︎Hydraulic Engineering (M.Eng, PhD, CEng)▪︎Domain SME - Steam Turbines, Gas-Fired Heaters and High Pressure Boilers O & M|▪︎Native Doctor","Wales, United Kingdom",2512,41949,62089,2015-02-17 14:19:50,2020-11-13 15:27:10,665,"Covid-19 is now running riot in America, as the President hides in the White House saying nothing.
Very dangerous moment. 
If you don't want to do anything about it @realDonaldTrump then stand aside and let @JoeBiden do it. Lives depend on immediate action to suppress the virus.",[]
cgeary2,Be like Jesus!,SoCal,404,105,21668,2011-05-02 11:36:15,2020-11-13 15:27:10,1010,"A tragic milestone: California now has 1 million cases of COVID-19.

It didn’t have to be this way. But we’re not powerless against this virus.

Be as cautious, if not more, as you were in March. Wear a mask. Limit travel. Social distance.

We can save lives. But we have to act. https://t.co/LlrFOnAcC1",[]
AlexPellom,"Father, Husband, Brother. MPA. CEM. Pearl Jam / Avett Brothers / FSU / Chicago Cubs Fanatic. Public servant.

PLEASE NOTE: Follow/RT is not an endorsement.","University Heights, OH",1197,331,843,2016-01-11 13:34:51,2020-11-13 15:27:10,1,"COVID-19 is still very present in our community. Please remember to take every precaution including:
🧼Washing your hands
↔️Keeping social distance
😷Wearing a mask
🧽Disinfecting surfaces
🏡Staying home when sick https://t.co/RTjLYJdYrF",[]
snotnboogers23,"My PhD is written in crayon.
I have a gift. And it's in the minor details.",MI,6186,5978,79891,2016-12-29 17:48:10,2020-11-13 15:27:10,0,"Seriously considering telling the CDC I have COVID-19, just so they'll clean my house.",[]
CheloXPtw,"Metgessa farmacòloga clínica a @HGUVALENCIA. Farmacovigilant de formació i vocació; ara en investigació clínica. Nací en el Mediterráneo. Tweets, my own opinion",,275,158,2357,2017-06-06 17:38:24,2020-11-13 15:27:10,12,"‼️ EMA publishes a safety monitoring plan and guidance on risk management planning for #COVID19vaccines: 
👉https://t.co/QIl4Yeb6Cx #pharmacovigilance #COVID19 https://t.co/OsJ31UNGMW","[{'text': 'COVID19vaccines', 'indices': [101, 117]}]"
lybaspring,sex educator and occasional rabble rouser,,81,291,11316,2010-07-03 02:31:57,2020-11-13 15:27:10,0,"@bradrossTO @gordperks I just wrote an e-mail to representatives at the 3 levels of government including BOH chair @joe_cressy addressing the systemic issues. Not everyone can watch their distance in their overcrowded homes, buses and shelters. We must address systemic issues. #COVID19","[{'text': 'COVID19', 'indices': [278, 286]}]"
Voltuan,"International activist, poet, concerned by social, environmental ( humanimal ) 's rights, peace ! #NoMeat #ReLovution ! 🐬🐳🐷🐼🐸🐧🐘🐵🐨🐺🐞🐌🐄 🌳🌲🌱🌴🌼🌻💐🌹🌷 #SaveTheBees 🐝","Paris, Ile-de-France",5089,4638,258167,2009-09-08 08:35:56,2020-11-13 15:27:09,888,"School strike week 117. Because of new COVID-19 recommendations and the rapid spread, we’re back to #ClimateStrikeOnline .
If you strike, remember to keep distance and follow COVID-19 restrictions and recommendations.
#fridaysforfuture #schoolstrike4climate #flattenthecurve https://t.co/2W2d48vUhB","[{'text': 'ClimateStrikeOnline', 'indices': [119, 139]}]"
SoCallls,#Resist #FBR #NeverAgain #MarchForOurLives #Lgbtq #BLM #traitortrump,,9502,9872,334388,2012-03-25 19:06:33,2020-11-13 15:27:09,1,"@SoCallls There is no cure for COVID-19 yet. For your protection and mine, let’s all wear face masks in public and practice safe distancing. Caring for others is patriotic, do your duty.  
Freedom, Positivity, Humanity. ⬇️
https://t.co/IeJ5gPo78v",[]
KeithRockhold,"DevOps never sleeps
 he/him",Anarchist Jurisdiction,469,73,7060,2017-12-10 22:50:16,2020-11-13 15:27:09,3444,"80 percent of those who died of Covid-19 in Texas county jails were never convicted of a crime, a new report finds  https://t.co/EjLpTPPQ4E",[]
BronteAustin,Arts & Culture Art Entertainment Literature Movies Music US & World News,Southern California,1256,306,18297,2016-04-27 00:52:20,2020-11-13 15:27:09,12,"In the U.S., the chances of catching Covid-19 can come down to who runs your state. @TimOBrien looks at two governors, for better and worse https://t.co/cNi6B1qUlz via @bopinion",[]
Beav72Jim,#resist #FBR #impeachtRumppenceBarr #freerealtyWinter no DM,,3394,3370,198533,2012-12-01 02:27:10,2020-11-13 15:27:09,20312,"Instead of fighting to defeat the COVID-19 pandemic that has killed over 242,000 Americans, the Trump administration is spending its final days in office fighting a bogus voter ""fraud"" problem that does not exist. Pathetic. The Biden-Harris Administration cannot come soon enough.",[]
Shaukat77599705,,"راولپنڈی, پاکستان",103,10,233,2017-07-22 15:08:37,2020-11-13 15:27:09,1,"#JamMadadAli had tested positive for #coronavirus 15 days ago and was admitted to hospital in #Karachi

https://t.co/XrSpUz3Lq9","[{'text': 'JamMadadAli', 'indices': [14, 26]}, {'text': 'coronavirus', 'indices': [51, 63]}, {'text': 'Karachi', 'indices': [108, 116]}]"
nomore0nori,#LFCchampions 월클패스 받아보신분?,19🏆,117,66,6076,2019-06-14 09:53:53,2020-11-13 15:27:09,33,🚨 BREAKING: The Egyptian FA say Mohamed Salah has tested positive for COVID-19. #awlfc [egyptian fa] https://t.co/r8mNICKChA,"[{'text': 'awlfc', 'indices': [98, 104]}]"
RhondaPPotter19,"Wife, mother of 2 boys and 2 Springer Spaniels, Travel Agent, pet groomer
#floridagirlforever
I love this planet and traveling around it!! #climate #resisters","McDonough, GA",4994,1781,7667,2018-03-03 03:52:02,2020-11-13 15:27:09,154,"“No act of kindness, no matter how small, is ever wasted.” ~ Aesop

The global #COVID19 pandemic has brought suffering &amp; sadness to many. 

Today, remember the power of a kind word to those who ring up your groceries or deliver your mail.

Kindness matters. 

 #WorldKindnessDay","[{'text': 'COVID19', 'indices': [99, 107]}]"
fadehossam,Freelance Producer/Fixer/Camera Operator,Gaza,750,227,480,2011-04-10 07:37:28,2020-11-13 15:27:09,4,#Breaking: Liverpool's Mohamed #Salah tests positive for #Covid19  https://t.co/1umftveEXB https://t.co/4E8eES1z1L,"[{'text': 'Breaking', 'indices': [21, 30]}, {'text': 'Salah', 'indices': [52, 58]}, {'text': 'Covid19', 'indices': [78, 86]}]"
faizmahmod,Sneakerhead wannabe. Not a hypebeast.  #YNWA,Malaysia,319,570,164817,2011-06-11 15:14:47,2020-11-13 15:27:09,1221,BREAKING: The Egyptian FA confirms Mo Salah has tested positive for COVID-19 https://t.co/yBtx5qUamw,[]
texasfightnow,"7th gen Texan. Wife, mother. Children were pulled away from desperate parents on our watch. BLACKLIVESMATTER","Texas, USA",4984,2872,35691,2009-09-12 04:21:48,2020-11-13 15:27:09,1084,"Since the last time President Trump spoke publicly, 8 days ago (11/5):

947,319 new COVID-19 infections.

7,507 Americans have died from COVID-19.",[]
marioch66,"breath and bleed Red ,White and Blue #cowboysnation","Ottawa, Ontario",1078,170,5895,2010-10-16 16:55:24,2020-11-13 15:27:09,1,"@celliottability Ontario death count includes people who didn't die of COVID-19, but exactly how many is unknown
https://t.co/mPbx7nA6ND",[]
iizaneednial_,21,,476,431,7121,2018-09-25 16:22:41,2020-11-13 15:27:08,196,OFFICIAL: The Egyptian FA have confirmed Mohamed Salah has tested positive for COVID-19. https://t.co/dRcD5xR7O1,[]
DylanJBoyle,"Civil Engineer, science enthusiast, amateur psychotherapist. Southern California.",,247,62,16224,2012-04-14 19:45:16,2020-11-13 15:27:08,5333,"JUST IN: The ship's captain announces 5 people have tested positive for #COVID19 on SeaDream 1, the first cruise ship to embark on a voyage in the Caribbean since the #coronavirus shut down the cruise industry.","[{'text': 'COVID19', 'indices': [88, 96]}]"
haye_0io,𝐾𝐴𝐼𖤇, south korea ,176,20,9899,2017-07-09 19:02:28,2020-11-13 15:27:08,97,#JiSung Tests Negative For COVID-19 https://t.co/368eZZQFWz https://t.co/rmd8u8BqGt,"[{'text': 'JiSung', 'indices': [12, 19]}]"
navimumbaicv,Active when it comes to Civic problems. Social/Personal opinion/views are also expressed,India,748,5732,8747,2012-08-14 18:37:40,2020-11-13 15:27:08,7,"#Mumbai
WardWise
Growth Rate
0.47
To
0.14 %

#Coronavirus
#CoronaVirusUpdates
#Covid19
@mulund_info
@COVID19_INDIA
@BorivaliA
@vinivdvc
@Against_Pseudos
@sandeepohri
@SanjayJog7
@navimumbaicv
@DeshmukhPraneel
@vaishnavi_1001
@covid19_alerts
@SZalki
@LokhandwalaBuzz
@israramrelia https://t.co/QQGodq6zzi","[{'text': 'Mumbai', 'indices': [21, 28]}, {'text': 'Coronavirus', 'indices': [66, 78]}, {'text': 'CoronaVirusUpdates', 'indices': [79, 98]}, {'text': 'Covid19', 'indices': [99, 107]}]"
meloche_e,"BLUE WAVE🌊🇱🇷DUMP TRUMP👉NO MAGA'S 👉BOTS👉Q'S👉RACIST👉NO HATERS👈 /Shield Maiden/Artist/Student of History/ Spelling mistakes,Hey I'm Dyslexic/LOVE & PEACE","NW. Washington, USA",4989,3304,86984,2017-11-30 03:58:17,2020-11-13 15:27:08,6,"NEW: Left out of Covid-19 vaccine planning, Biden advisers developing their own distribution strategy - latest from @spettypi, @strickdc and me  https://t.co/NV4359iRiz",[]
damarguero_99,"#LUYNV #CDS
🔥Panorama🔥
💥Paris De Noia💥
🔝La Pegatina🔝
🏆Real Valladolid
⚽FCBarcelona
🔜Drummer
👉La locura es la base de la felicidad
💯Verbenero💯",,1486,599,166173,2013-09-05 08:59:32,2020-11-13 15:27:08,1221,BREAKING: The Egyptian FA confirms Mo Salah has tested positive for COVID-19 https://t.co/yBtx5qUamw,[]
Levanonashvili,My bow is my spine. Recurve archer|coach 12 years. 🏹 •2024 US Olympic team hopeful •pescatarian🐟 Instagram; @LevanOnashvili *My only accounts*,,262,20,76,2018-09-17 05:02:46,2020-11-13 15:27:08,47,"There appears to be a glitch in the simulation!

@ElonMusk has called into question the authenticity of #COVID19 tests, after claiming that results showed he tested positive twice and then negative twice – all on the same day 

https://t.co/SjSqJ3kspS https://t.co/VIJLi07yrt","[{'text': 'COVID19', 'indices': [116, 124]}]"
TrevorChester4,Down to earth and a realist,"New York, NY",379,17,1475,2018-11-29 03:12:57,2020-11-13 15:27:08,3,"#CoronaMeter: Jamaica has recorded 9,723 #COVID cases of which 227 persons have died and 5,168 recovered. There are 4,199 active cases. Meanwhile, 22,298 persons are in home quarantine while 4,126 are isolated at home. In the last 24 hours, 1,001 samples were tested. https://t.co/U0yJvktMSh","[{'text': 'CoronaMeter', 'indices': [20, 32]}, {'text': 'COVID', 'indices': [61, 67]}]"
DISUNC,"""It is a tale Told by an idiot, full of sound and fury, Signifying nothing."" William Shakespeare, Macbeth. #GOPAmericasTaliban",Orphaned in Pottsville,759,358,57038,2009-05-27 16:42:57,2020-11-13 15:27:08,1148,"📍DON’T CHASE SWEDISH HERD STRATEGY. As many know, 🇸🇪 took the careless “herd” strategy in spring to let the coronavirus run rampant. Huge #COVID19 deaths compared to its Nordic neighbors. But Swedish leaders claim they built herd &amp; will win in 2nd wave. Here is how it’s going: https://t.co/6Ofmn7eGZV",[]
rl4boys,Mother of 4 wonderful boys!,"Queens, NY",26,3,210,2012-02-22 14:35:29,2020-11-13 15:27:08,363,"NEW: Supreme Court Justice Alito said in recent remarks that the COVID-19 pandemic has caused ""previously unimaginable"" restrictions on liberty and warned that the US must prevent the freedom of speech ""from becoming a second-tier constitutional right."" https://t.co/sBcLadvMS3",[]
YaleEGC,Supporting the economic advancement of poor and marginalized people in developing countries through innovative research at @Yale and around the world.,"New Haven, CT",380,2086,413,2020-02-19 18:06:47,2020-11-13 15:27:08,0,"Data from surveys of migrant workers in India show that exiting vulnerabilities (caste, gender) tend to be worse on a number of outcomes w #Covid19. 

Charity Troyer Moore of @YaleMacMillan at #SouthAsiaDevDialogue 
 
Watch live now: https://t.co/1s54tQNUBA","[{'text': 'Covid19', 'indices': [139, 147]}, {'text': 'SouthAsiaDevDialogue', 'indices': [193, 214]}]"
WBA_Rhys,#FearTheDeer 999 for life🖤🕊- #wba,"West Midlands, England",3534,1163,26341,2018-07-05 17:54:29,2020-11-13 15:27:08,2,"#LFC forward Mohamed Salah has tested positive for Covid-19, the Egyptian FA has confirmed.","[{'text': 'LFC', 'indices': [19, 23]}]"
ButlerRunner,Woman college educated thoroughbred lover grandmother moderately liberal,"Phoenix, AZ",640,223,97291,2018-03-18 16:19:32,2020-11-13 15:27:08,336,"The people expressing shock that Trump has done even less about Covid-19 after he loss the election boggles my mind-he never cared about helping anyone, only himself. 

Donald Trump truly doesn't care if anyone in America lives or dies on his watch.",[]
HB_Huddle,"Huntington Beach Huddle: An Orange County, CA grassroots group standing for the protection of human rights, health, the environment and working families.","Orange County, CA",2048,1752,9399,2017-05-21 17:45:33,2020-11-13 15:27:07,0,"This a typical gathering attended by the 48th Congressional Representative. Certainly not a good role model for combating #COVID19 , a supposedly legislative priority.https://t.co/xLaoOAwJlW","[{'text': 'COVID19', 'indices': [122, 130]}]"
pozitivebrown,"Black man and father, HIV succeeding, ACLU of the District of Columbia staff & member, Prince 4 life 💜",Washington D.C.,1788,1265,8747,2010-09-27 16:50:24,2020-11-13 15:27:07,1,"Suicide figures are up 200% since lockdown. Could 2 followers please copy and re-post this tweet? We’re trying to demonstrate that someone is always listening. 

Call 1-800-273-8255 (USA hotline)

Just two. Any two. Copy, not retweet. 
#COVID19",[]
kitsilano_news,"Kitsilano News, Breaking news on weather, sports, world, science, financial, technology, travel, national, economy, and entertainment","Kitsilano, Vancouver",1711,1329,2020,2010-09-24 09:24:57,2020-11-13 15:27:07,3,"""Our ability in public health to find everybody in a timely way, particularly in the Fraser Health and Vancouver Coastal Health regions, has been stretched to the max,"" Dr. Bonnie Henry said. ""And we are falling a little bit behind."" https://t.co/xldqmoAfKN",[]
_manarina,"angkat minumanmu, bersedih bersama-sama","Camp Nou, Barcelona",631,777,81045,2011-10-07 02:39:18,2020-11-13 15:27:07,11,"The Egyptian FA have confirmed that Mohamed Salah has tested positve for COVID-19. ⁣
⁣
Get well soon, Mo! 🙏 https://t.co/QW6dFen2wu",[]
MikezAFC_,"#Arsenal | 🇯🇲 just football tweets and banter, don’t take my tweets serious",South London ,2217,6553,175521,2013-12-17 09:32:57,2020-11-13 15:27:07,151,"Mohamed Salah has tested positive for Covid-19, the Egyptian FA has announced.

Get well soon, @MoSalah 🙏 https://t.co/gHZdqk5Lwj",[]
