username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
chanji_k,Deputy Director General l NPC India I DPIIT I Min of Commerce & Industries I GOI ( Specialisation - Industrial & Agriculture Engineering ),India,833,816,1306,2019-09-25 15:33:58,2020-11-13 16:13:49,1,"CPI-442
Madening crowds in markets during this #Diwali2020 #festival indicate that either people are not afraid or have become careless/ignorant of #coronavirus
No surprise we r having 8K cases in #Delhi per day &amp; the nos will rise
#COVID19 #Diwali #Diwaliwishes #DiwaliSpecial","[{'text': 'Diwali2020', 'indices': [61, 72]}, {'text': 'festival', 'indices': [73, 82]}]"
VidaEasy,Stab Vida offers the best sequencing services and products in Biotechnology (certified by ISO 9001).,Caparica (Portugal),25,6,13,2020-09-17 09:44:03,2020-11-13 16:13:49,0,Testes Covid-19!! https://t.co/haU3Q332wH,[]
VERTEX411,"Experts in Forensic Consulting, Engineering Design, Construction, Environmental, and Digital & Technology.",Massachusetts,157,196,664,2011-11-09 22:40:34,2020-11-13 16:13:49,0,"As a result of the COVID-19 pandemic, insurance carriers providing environmental pollution liability policies have seen an increasing influx of #COVID19 related claims since Mar 2020. VERTEX's Lawrence Daniels discusses #environmental #insurance #claims. 
https://t.co/yen5Gjtnc7 https://t.co/u2eHdhEqTn","[{'text': 'COVID19', 'indices': [144, 152]}, {'text': 'environmental', 'indices': [220, 234]}, {'text': 'insurance', 'indices': [235, 245]}, {'text': 'claims', 'indices': [246, 253]}]"
Ronilj261,Proud of Biden & Harris. Ready To  Build Back Better! Wear a damn mask. = Rights. Enough fighting.,,2878,2688,84655,2017-05-06 21:49:44,2020-11-13 16:13:49,20935,"Instead of fighting to defeat the COVID-19 pandemic that has killed over 242,000 Americans, the Trump administration is spending its final days in office fighting a bogus voter ""fraud"" problem that does not exist. Pathetic. The Biden-Harris Administration cannot come soon enough.",[]
USCGamecockBoy,#Gamecocks #SpursUp #GoCocks🐓🤙🏿#ChopOn #KeepPounding #BuzzCity #CarolinaHurricanes #BlackLivesMatter #LGBTQ 🏳️‍🌈 #Democrat #VoteBlue #Feminist #Resist 🇺🇸,"Columbia, SC, Gamecock Country",4216,2058,422462,2010-10-26 01:06:29,2020-11-13 16:13:49,213,"JUST IN: A stay-at-home advisory will go into effect in Chicago on Monday morning ""due to the alarming and ongoing surge in COVID-19 cases,"" Mayor Lori Lightfoot announces. https://t.co/yTyJ2dpq0l https://t.co/8V8tC1A8OE",[]
jdbothma,"Dev into civic tech, mountains and sailing. Working at @OpenUpSA. My views are my own.",Cape Town,445,329,1793,2010-06-08 13:38:47,2020-11-13 16:13:49,2,"Curious how SASSA sourced PPE and cleaning for COVID-19?

Check it out at #KeepTheReceipts

https://t.co/86O0WSDUZC","[{'text': 'KeepTheReceipts', 'indices': [88, 104]}]"
CBS47,Eyewitness News http://t.co/N9BvaETdkt,"Fresno, CA",1269,25323,119729,2008-11-06 22:35:39,2020-11-13 16:13:49,1,Read the full advisory here: https://t.co/c66qPFVT4B https://t.co/BnvW9PEyUq,[]
TheTruePooka,Walked to school everyday uphill in the snow both ways.,NYC,152,1973,14891,2009-11-05 16:40:59,2020-11-13 16:13:49,0,@RepRWilliams @HouseGOP I can't believe the @GOP has surrendered to #Covid19 and is just going to let millions of Americans die so they can do this power grab.,"[{'text': 'Covid19', 'indices': [68, 76]}]"
suebeeak,"I love dogs, and I block people who hurl insults rather than having a polite discussion.",Alaska,620,629,27017,2011-06-21 03:22:04,2020-11-13 16:13:48,30,Donald Trump weaponized the mask. Joe Biden says he will call red state governors to order mask wearing. They won’t hear of it. No wonder our health care system is stretched to the max with #coronavirus cases. A mask is not a political statement! https://t.co/vqQTejdgoF,[]
BryceCracknell,"Impact Producer @Participant /former @ncconservation @selc_org @ncejn @earthjustice/ @DukeU alum @udallfoundation scholar
(he/him)
#BlackLivesMatter✊🏾✊🏽✊🏿",,680,430,2394,2012-10-05 01:55:06,2020-11-13 16:13:48,3710,"80 percent of those who died of Covid-19 in Texas county jails were never convicted of a crime, a new report finds  https://t.co/EjLpTPPQ4E",[]
jgwilliams4,,,207,178,158822,2015-10-16 23:54:48,2020-11-13 16:13:48,13,"#COVID19 in South Dakota: 2,020 new total cases; Death toll remains at 567; Active cases at 18,722 https://t.co/44MVs0RXB6","[{'text': 'COVID19', 'indices': [10, 18]}]"
WolfgangPetzold,"I work @EU_CoR and tweet in personal capacity about regions and cities, EU politics/policies, and related research and events.",Brussels,2947,4962,12679,2010-10-30 12:51:47,2020-11-13 16:13:48,0,COVID-19 and EU coehsion policy: report (12 Nov) https:// https://t.co/upWgBrB1bL @eprc_eu @RegioEvaluation @NicolasBrookes @SapalaMagdalena @VasilisMargaras @EP_ThinkTank @ERSA_org @regstud @JBachtroegler https://t.co/sKzH70K9bP,[]
moved2italy,Expat Patriot in Italy. 5th Generation Californian watching the US and fighting #Fascism from afar! #GeorgiaOnMyMind 😉 #DemCastGA #DontLookAway #CloseTheCamps,Italia ,6670,6953,85359,2013-08-19 10:26:46,2020-11-13 16:13:48,27,"Today the Alameda County Public Health Dept, @Dare2BWell, announced a reopening freeze. Businesses currently open can continue to operate — but they warned that increasing #COVID19 numbers may require moving back to more restrictions.

More @berkeleyside👇🏻https://t.co/qaEiQgLwXP",[]
miriamdwek,"Opinions are my own, retweeting does not mean endorsement","London, UK",587,568,2376,2010-01-29 15:39:50,2020-11-13 16:13:48,0,UKRI funded students: how have you been affected by Covid-19? https://t.co/MkXJFWgo0x,[]
stantheguy,"Believe your beliefs .. Doubt your doubts, if not you will doubt your beliefs. 
- Rich Simmonds",Lagos Nigeria,588,268,28264,2011-11-25 13:48:03,2020-11-13 16:13:48,32,"COVID-19 can affect the lungs, respiratory system, the mind, immune system, and other parts of the body https://t.co/7tjnPrJIv2",[]
danielhowdon,"Health Economist, University of Leeds. Leeds Institute for Health Sciences @ucu rep.",,381,3174,6353,2019-08-04 19:31:36,2020-11-13 16:13:48,5,"Professor of Biostatistics @DeeksJ of the University of Birmingham joined us to discuss the mass testing program currently being piloted in the UK.

He says the plan's ability to detect cases has been ""somewhat overstated"".

#rtept #Covid_19 https://t.co/JyaCPKmyID",[]
NhidaYahya,EnthusiasticModernWorkingMom,Malaysia,72,8,82,2019-09-05 12:26:51,2020-11-13 16:13:48,0,Super-spreader wedding party shows COVID holiday dangers - Los Angeles Times https://t.co/NbOVIbU1ex,[]
suzanne_pagan,,,298,1,93,2016-10-07 02:34:42,2020-11-13 16:13:47,0,How long does the Covid 19 vaccine last?,[]
uclaprisondata,A @uclaprisonlaw initiative directed by @SharonDolovich & @aaronlittman tracking COVID-19 data in prisons & jails. Contact: covidbehindbars@law.ucla.edu,"Los Angeles, CA",147,549,700,2020-04-25 22:55:17,2020-11-13 16:13:47,0,"COVID-19 Cases by Midwestern States​
​The Wisconsin Department of Corrections is committed to maintaining transparency throughout the COVID-19 public health crisis.

https://t.co/FTeoCQIcWR",[]
MOSugerman,"archaeologist; political economist; studies the ancient emergence of inequality, and works to solve it in the present; #gunsense #voteblue #resist #FlipItBlue","New York, USA",929,788,17167,2013-11-24 20:04:21,2020-11-13 16:13:47,1415,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
mark_gande,Straight forward son of gande anti water melons,Kenya,277,60,1255,2018-03-12 12:50:30,2020-11-13 16:13:47,0,@kipmurkomen Is it the same covid-19 you and your master dismissed the other day?since when did it become a priority to your cohort?,[]
Dr_Cryme2,I'm Dr. Cryme's biggest fan. #NoDulling for here. Follow me if you like me wati. I have big love for @newsfeedgh_ 👌👌. FB or you go chop unfollow,"Tema, Ghana",853,850,4272,2020-08-13 12:57:55,2020-11-13 16:13:47,1,Heeer this world err ibe we the Liverpools we dey bleed waa..all our defenders injury wey Mo sallah too get COVID-19 eei😢😢 but still we move🔥 #YNWA https://t.co/hSFjoNtSDo,[]
swimmingmohit,"‘Character’ is all that matters in this election. Let’s do M.O.R.E. - mobilizing, organizing, registering, and educating people to select competent leaders.","Colorado, New York",103,110,89922,2018-02-24 05:06:25,2020-11-13 16:13:47,1632,"As politically partisan a speech as I’ve ever seen from a justice: arrogant , tendentious, and sloppy.  Alito condemned COVID-19 restrictions, marriage equality, abortion rights, and five sitting Democratic senators.  https://t.co/5Z3Z51Iu0X",[]
FawadKhanIK1,"My Leader is only Imran Khan, Pakistan Tehreek Insaf #PTI-Family, Support #Zalmi Peshawar Zalmi #khpalteam💪✌","Toronto, Canada",206,4710,259507,2017-07-04 06:52:39,2020-11-13 16:13:47,870,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
JeffreyFeldberg,"Your Success My Obsession®  ✤ 9-Figure Exit Entrepreneur 
✤ Helping Business Owners Increase Enterprise Value ✤ Helping You Master Your Liquidity Event",,97382,103397,147350,2013-04-27 11:12:27,2020-11-13 16:13:47,0,3 Ways Great Leaders Have Evolved After Covid-19 https://t.co/dsoxBkadPm #entrepreneurship #exitstrategy #businessowner,"[{'text': 'entrepreneurship', 'indices': [73, 90]}, {'text': 'exitstrategy', 'indices': [91, 104]}, {'text': 'businessowner', 'indices': [105, 119]}]"
ArezkiDaoud,Publisher/Editor of The North Africa Journal,Global,46,299,2554,2013-02-16 00:19:56,2020-11-13 16:13:47,0,"Podcast: #Covid19 in the #Maghreb region as of mid-November 2020 - (#Morocco, #Algeria, #Tunisia and #Libya)

https://t.co/TY1s7dL7De","[{'text': 'Covid19', 'indices': [9, 17]}, {'text': 'Maghreb', 'indices': [25, 33]}, {'text': 'Morocco', 'indices': [68, 76]}, {'text': 'Algeria', 'indices': [78, 86]}, {'text': 'Tunisia', 'indices': [88, 96]}, {'text': 'Libya', 'indices': [101, 107]}]"
DragonCynn,"Mom/Sister/Daughter/Grandmother! BIDEN/HARRIS 2020!** Democrat, #Hanian, #RESISTER,  @DragonCynn, Animal Rites, BLM! Dog Mom! ANTI-TRUMPER! BYEDON!!!",OHIO/PA/NJ,361,181,7035,2019-12-25 17:14:14,2020-11-13 16:13:47,1415,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
TheRugbyStudent,"I study #rugby. I played the game for twenty years now trying my hand at #CoachingRugby. “If you fail to prepare, you’re prepared to fail.” @leinsterrugby",On a rugby pitch somewhere,185,113,534,2020-10-02 13:20:46,2020-11-13 16:13:47,0,Awh that's a pity ☹️ dam you #Covid_19 #AutumnNationsCup https://t.co/mx5te4rUoS,"[{'text': 'Covid_19', 'indices': [29, 38]}, {'text': 'AutumnNationsCup', 'indices': [39, 56]}]"
NicolaJCall,"Bloomsbury author of ALPS Approach, Thinking Child, and eight picture books, My Best Friend, Gregory's Grumpy Day, My Big Brother ...
Always writing....",California,1144,634,5359,2012-01-23 16:37:34,2020-11-13 16:13:46,1024,"The “90% efficacy rate” of the Pfizer vaccine is based off only 94 positive cases of COVID-19.

The final Pfizer analysis will be conducted after a grand total of 164 positive cases.

And then the plan is to vaccinate 500 million+ people in 2021.

Feels very very rushed to me.",[]
copronetwales,"We want a fairer, more sustainable Wales where everyone has a voice. Connect, join the conversation and the movement! #coproduction #involvement [DMs open]","Wales, United Kingdom",1674,1936,2461,2016-05-20 12:56:25,2020-11-13 16:13:46,3,Ever heard of @danny__kruger? He's got some big ideas for the role of #communities beyond #COVID19 &amp; recently put some shape on them in a report for UK Gov.....our latest blog 👇 from @c_johnes sets what they could mean for #Wales #StrongWelshCommunities   https://t.co/6OkP4uofFC https://t.co/Fxk3wLngVM,"[{'text': 'communities', 'indices': [84, 96]}, {'text': 'COVID19', 'indices': [104, 112]}]"
kaokou11,💜😘🐹WWH💜元フォーミュラカーレースドライバー Former formula car race driver （プロフィール詳細：https://t.co/nwQSNFSQDP） チャイルドシート指導員、安全運転実技指導員。サブ垢 @kaorunakabayas1 2010年3月 青山学院大学心理学科卒。,ドイツ,24083,32218,287493,2011-03-17 07:59:44,2020-11-13 16:13:46,47,11) The every sharp @spignal points out the well known Swedish mortality reporting delay issue. Deaths are reported retroactively after a delay. Thus their recent death reports are always undercounts. Sweden #COVID19 mortality is currently going up. https://t.co/ybZVvb6k4E,[]
kelhuntslight,Mask wearing. Walking with no fear into the fire.Don't f with a coder. My ADHD was misdiagnosed as bipolar disorder thx girl for the pain for the last 8M/years,Orwell believed that ,4868,2219,81960,2016-12-05 15:43:42,2020-11-13 16:13:46,0,'Breakthrough finding' reveals why certain Covid-19 patients die https://t.co/DoTqxUlzim via @Yahoo,[]
d_t_tweets,#NewsJunkie #tweeting about #NorthernIreland #News #Politics #Music  etc... with the odd #Joke added to the mix.,"County Antrim,Northern Ireland",797,962,8990,2018-02-24 21:22:12,2020-11-13 16:13:46,1,@naomi_long ⬇️ this was sad to hear. Are there enough protective measures in place for @PoliceServiceNI so they don't catch Covid-19? https://t.co/B4eyYtYz6u,[]
lastmileworks,Our mission is to protect communities most impacted by the COVID-19 pandemic with info for employers & workers on how to stay safe. Volunteer-run non-profit.,NYC,827,143,132,2020-08-07 14:29:07,2020-11-13 16:13:46,0,Can an air purifier help protect you from #COVID19 ?https://t.co/GWLUufZW1y,"[{'text': 'COVID19', 'indices': [42, 50]}]"
KansasGas,"This account is monitored 8 a.m.-5 p.m., M-F. For natural gas leaks, leave the area and call 911 and 888-482-4950. Account questions call 800-794-4780.","Overland Park, Kan.",69,1158,3156,2009-09-17 11:14:57,2020-11-13 16:13:46,0,It’s important to keep the symptoms of #COVID19 in mind to protect yourself and those around you. Need a refresher? Check out this video from the CDC: https://t.co/QV9sGAP442,"[{'text': 'COVID19', 'indices': [39, 47]}]"
___JPE23,Morehouse • Isaiah 40:31 • Co-Founder/Sports Analyst for https://t.co/rrprTmuQ9E,"Georgia, USA",4392,9758,350390,2011-06-16 02:59:20,2020-11-13 16:13:46,101,"Liverpool’s Mohamed Salah has tested positive for COVID-19 while on international duty, the Egyptian FA has confirmed https://t.co/6aGATpFxi7",[]
1015WYNK,#1 for Today’s Hit Country & your home for The Bobby Bones Show! ✌🏻💙❤️ #iheartcountry #iheartradio // FB | Instagram: 1015WYNK,"Baton Rouge, LA",726,5959,14475,2009-03-15 07:28:04,2020-11-13 16:13:46,0,"A judge ruled in favor of Louisiana Gov. John Bel Edwards after the state attorney general and Republican legislators requested the governor's coronavirus restrictions be rescinded.
https://t.co/ft1RG11udj",[]
m_tmgjruss,"Retired RN,married to my Veteran Hero, hoping,praying that my Country, USA grasps the Knowledge and Courage to achieve Freedom , Equality and Justice for all!","Indiana, USA",540,377,100364,2014-05-13 00:40:07,2020-11-13 16:13:46,103,"NEW: 130+ Secret Service officers are infected with Covid-19 or under quarantine, according to a Washington Post report by @CarolLeonnig. 

“This is 1/10th of the backbone of the Secret Service officer core that protects the White House."" https://t.co/YbmUIB3cNW",[]
NorteSur7,,El Salvador,2430,3894,666988,2014-03-31 05:04:45,2020-11-13 16:13:46,63,"[from my inbox today]
#WorldKindnessDay 
#WearAMask 
#COVID19 https://t.co/CsjsvJw1NI","[{'text': 'WorldKindnessDay', 'indices': [38, 55]}, {'text': 'WearAMask', 'indices': [57, 67]}, {'text': 'COVID19', 'indices': [69, 77]}]"
fakerapper,award-winning tech entrepreneur. founded: Appolition @useaerial @transh4ck phd. crypto/blockchain enthusiast since 2014. stoner. pronoun: King 👑,Africa,2023,19137,175007,2008-03-30 05:34:00,2020-11-13 16:13:46,151,80% of those who died of Covid-19 in Texas county jails were never convicted of a crime  https://t.co/muahDnlBzD,[]
ja_mott,"I’m just a citizen with a concern for the direction of our country. Military spouse (I speak only for me), mom & independent thinker. My views are mine. NO DMs","Texas, USA",3308,2468,22029,2012-03-30 20:21:39,2020-11-13 16:13:46,816,"Please, don't travel for the Holidays. We are at the very beginning of a gargantuan surge in #COVID19 in the U.S. https://t.co/RXzJOlEIPn","[{'text': 'COVID19', 'indices': [113, 121]}]"
TheFFconnection,,NFL,36,6902,21,2018-05-30 16:28:18,2020-11-13 16:13:46,0,"As of 11am ET on Friday, the #Texans and #Browns  game is still on. 

With no added positive Covid-19 tests tomorrow, I would expect this game to still be played in the 1pm ET slot on Sunday.

The player who has tested positive has yet to be confirmed.","[{'text': 'Texans', 'indices': [29, 36]}, {'text': 'Browns', 'indices': [41, 48]}]"
Bharpur19,,,58,2,982,2019-03-01 15:21:00,2020-11-13 16:13:46,2,President Kenyatta launched the @UN-Nairobi Hospital today. This is a modern 100-bed capacity hospital built in a record time of three months to cater for COVID-19 patients. https://t.co/UCLgIf16Bu,[]
mizujada,The sunlight dragged me here,"Washington, DC",231,353,78031,2009-12-07 23:42:17,2020-11-13 16:13:46,94,"FYI, rapid antigen tests are much less accurate than PCR tests and are especially known to have a high rate of false negatives, due to lower sensitivity. From @MayoClinic: https://t.co/LuOpHhuNFm https://t.co/vKH6TdnLUh",[]
imnotdproberts,I'm not the real Dread Pirate Roberts.,"PNW, USA",1820,115,3320,2014-02-28 19:45:43,2020-11-13 16:13:45,816,"Please, don't travel for the Holidays. We are at the very beginning of a gargantuan surge in #COVID19 in the U.S. https://t.co/RXzJOlEIPn","[{'text': 'COVID19', 'indices': [113, 121]}]"
pqmd,PQMD is an alliance of non-profit and corporate organizations committed to bringing measurable health impact to the under-served and vulnerable.,"Annapolis, MD",234,279,1831,2016-03-02 17:51:45,2020-11-13 16:13:45,0,"Progress Toward Regional Measles Elimination — Worldwide, 2000–2019
https://t.co/UBivnToCnx

Measles surging as COVID-19 curbs disrupt vaccinations
https://t.co/PXyx6DfTeB",[]
ReneOlson1959,"Resistance 
🌊🌊🌊","Kingsland, GA",650,379,19283,2011-06-19 22:14:25,2020-11-13 16:13:45,1415,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
onacIoudyday,"Boomer! Love my Sooners and my Aztecs. Team @TankSchottle 💪 Here to keep up with current affairs. No, I won’t join your follow back party.","San Diego, CA",1836,278,68008,2020-01-25 01:35:05,2020-11-13 16:13:45,2,"N. Dakota allowing infected asymptomatic hospital workers to treat COVID 19 patients
👀💀
💀☠️☠️",[]
fehowarth,"🙄  Inclined to ignore direct messages. Especially those who say hi. if an opinion is given might consider answers. Not sure, as I get none of those.",Central Coast NSW,3513,4804,544744,2008-11-13 00:59:28,2020-11-13 16:13:45,0,Petition update · “Ali” needs us. · https://t.co/BkGl1nUR5R https://t.co/cehJVmsBeC,[]
TorontoDDG,Must love cities. Urbanist. Explorer. Doesn’t hate condos. 5-star sudoku master. Steering Committee member of @chartercity_TO,Toronto,4993,1306,201036,2011-03-25 15:55:09,2020-11-13 16:13:45,9,"The longer we fight #COVID19, the more I'm convinced we need to understand human behavior just as much as we need to understand the virus. https://t.co/nCuCgOOBDF","[{'text': 'COVID19', 'indices': [38, 46]}]"
twodogsing,"Psychoanalyst, technology fan, music lover, semi-professional insomniac, gadfly & PITA","New York, NY",2460,1629,250872,2009-10-09 05:24:51,2020-11-13 16:13:45,1415,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
JamesJJRyan,I am an Occasional Teacher with the Toronto Catholic School Board. The opinions I express are my own.,Ontario,2450,2570,40306,2009-05-17 17:27:51,2020-11-13 16:13:45,46,"Ontarians are now facing terrifying COVID-19 projections. Pinching pennies &amp; hoping for the best will cost lives.

To avoid a health &amp; economic catastrophe, we need a circuit breaker – a targeted, fully-funded 2-week modified Stage 1 in hotspots only.",[]
PulaBW,"Number Cruncher | Traveller | Armchair Activist | Tweets about Botswana, Africa, Travel, Business, Entertainment & Technology|",🇧🇼🇿🇦,2460,2703,25894,2009-07-27 16:24:52,2020-11-13 16:13:45,2,"We delivered resilient financial results despite the impact of COVID -19: core headline earnings up 41% 

#InterimResults #MultiChoice https://t.co/JXk4EUqBwk",[]
Jeff66923777,"Here to fight 4 democracy!
#ChronicPainWarrior 🚫 MAGAts. NO DMs, happily married! Retired Business Mgr/25Yrs #VoteBlueNoMatterWho #TheResistance #FBR #IFB #BLM",Somewhere in Iowa,25934,25246,9144,2019-07-18 13:12:59,2020-11-13 16:13:45,13,"Ya know, it's so f*cking stupid how this @realDonaldTrump admin operates. 

They had their White House #SCOTUS party where several got Covid-19. 

Election night has;

Mark Meadows 
Cory Lewandowski 
Healy Baumgartner 
Ben Carson 
David Bossie
Brian Jack 

Positive/Covid wow!","[{'text': 'SCOTUS', 'indices': [121, 128]}]"
24a02a2a1ecb4bc,,,134,22,1889,2014-07-05 20:19:41,2020-11-13 16:13:44,1622,"Covid-19?   

It is not nearly as frightening as Biden/Harris-20.",[]
tbtorcan,,"St. John's, Newfoundland",390,43,1625,2012-08-19 17:00:47,2020-11-13 16:13:44,5,"Our Liberal Government understands that artists and musicians are the backbone of Newfoundland and Labrador culture. Hit hard financially by COVID-19, the Artist Support Program aims to help. https://t.co/DXEv4OWOV3",[]
