username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
herewego8645,,,698,591,23176,2020-05-01 21:46:39,2020-11-13 15:56:32,352,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
gangster_kitty,Just a all American gal calling out lies and hypocrisy!,"Alvin, TX",480,160,10552,2015-11-21 22:10:20,2020-11-13 15:56:32,352,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
DavidAPerez1,"Attorney at Perkins Coie in Seattle, Civil Rights and Voting Rights Advocate; Bring back the Sonics",,789,577,442,2012-08-27 23:24:56,2020-11-13 15:56:32,2242,"You chance of encountering someone with COVID-19 at a gathering of 10 people, by location:

NYC: 8%
Seattle/King County: 11%
Los Angeles: 12%
Chicago/Cook County: 39%
Norton County, KS: More than 99%

https://t.co/Pz05RZvmpc https://t.co/D9EpmmBTma",[]
Bryan_C_Murray,,"Ottawa,Ontario",486,188,19418,2012-09-01 19:28:11,2020-11-13 15:56:32,0,@As1Thought @TheDiMono Ontario is averaging 60.2% t date with COVID-19 being the PRIMARY cayse   ... Here is the last update from the Ontario Gov't ....... https://t.co/caYYtj20aI,[]
StephProblems,Artfully crafting tweets since 2011.,,216,121,644,2010-10-10 20:28:51,2020-11-13 15:56:32,20743,"Instead of fighting to defeat the COVID-19 pandemic that has killed over 242,000 Americans, the Trump administration is spending its final days in office fighting a bogus voter ""fraud"" problem that does not exist. Pathetic. The Biden-Harris Administration cannot come soon enough.",[]
Mian__Awais,Have something in you people can't buy,"دبي, الامارات العربية المتحدة",95,16,1126,2011-08-28 10:05:48,2020-11-13 15:56:32,299,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
bobbiekingsbury,"#Fashion #Designer, #FashionStylist, #MUA #SocialButterfly, #NewEnglander living in FL. #BostonStrong",Tampa FL,2270,1686,129493,2011-07-12 15:06:26,2020-11-13 15:56:32,352,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
NydiaPBonilla,"Moderate conservative. Trying to find balance in an imbalanced world. Not a Trumper. Feminism, human rights, environment. Women for Trump = Women for Misogyny",,642,223,21430,2011-11-20 16:26:08,2020-11-13 15:56:32,4,"If we want to heal this nation, any vaccine must be safe, effective, and most of all, accessible. Your finances should not determine your immunity.
https://t.co/XyAJ4AZg8X",[]
Brincelyn,,"El Paso, Texas",49,190,44093,2011-03-13 05:02:54,2020-11-13 15:56:32,30,"El Paso funeral directors are straining to keep up with an unfathomable number of people dying of COVID-19. The virus has dramatically altered how El Pasoans mourn their dead, @ziembavision and @Elida_S_Perez report. https://t.co/KYi2BTXB97",[]
acres_ware,Architect / Contractor and Logistics,"westlands,kenya",80,10,231,2020-11-06 20:07:58,2020-11-13 15:56:32,5,"@citizentvkenya IS BBI EMERGENCY? Our real emergency is Economy recovery, Fight against covid-19, Our children to go back to school and desert locust invasion, NOT BBI. Who will tell Raila that BBI can be done later. KENYA IS FOR ALL OF US. NOBODY IS A SQUATTER.  THIS BBI IS MEANT FOR LUO NYANZA",[]
bluedillygal,#StillWithHer #PeoplesPresident #NoRacism #NoMisogyny #ActOnClimate #HumanRights #LoveWins #LGBTQ #UniteBlue #TheResistance #America #Indivisible #NyetTrump,America,9720,8994,436762,2009-03-19 20:26:06,2020-11-13 15:56:31,8,"What an absolute slap in the face to people who’ve sworn to give their lives for him. To @realDonaldTrump soldiers are suckers and losers, doctors are getting rich off of #COVID19, and apparently the Secret Service is dispensable. https://t.co/UBjpHvmg6B",[]
myfvoriteweapon,just here to keep up with current events. Caps & LFC,"Chicago, IL",222,296,15405,2008-12-02 14:08:14,2020-11-13 15:56:31,750,"#LFC forward Mohamed Salah has tested positive for Covid-19, the Egyptian FA has confirmed.","[{'text': 'LFC', 'indices': [19, 23]}]"
Pnwowl,caregiver. humanist. activist. student. ally. voter. interested in sustainable living. #EndPoliceBrutality #ClimateEmergency #HumaneTech,Oregon ,5021,5172,105438,2017-04-21 09:43:06,2020-11-13 15:56:31,3,“80 percent of those who died of Covid-19 in Texas county jails were never convicted of a crime” https://t.co/zA7glvxpDg,[]
NazriShamsudin,Make new friends but dont forget your old because new is silver and old is gold.,"KUL - AOR, Malaysia",119,35,77797,2011-12-16 09:32:39,2020-11-13 15:56:31,4029,"Small wedding. 55 attendees.
Temperature taken at entrance. No fevers reported.

Later, 177 infected.
7 died — and they didn’t even attend the wedding. https://t.co/n0xsPCqMi2",[]
AfzalKhan_001,"#PTI, Vice-Chairman Sector F-10/F-11 Islamabad. Coordinator Kamyaab Jawan Programme.
IVLP، East West Center Fellow","Islamabad, Pakistan",25,674,34007,2012-12-28 10:46:25,2020-11-13 15:56:31,299,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
ieeeypctx,We are committed to helping young professionals evaluate their career goals and create the building blocks of a lifelong and diverse professional network.,"Texas, USA",322,308,33704,2016-12-15 13:40:58,2020-11-13 15:56:31,0,"RT from IEEESpectrum: ""#CRISPR-based #COVID tests are very accurate - just not quite #PCR level yet. But now @Stanford researchers have discovered electric fields accelerate the pipeline. A new gold standard for high-speed, high-accuracy coronavirus … https://t.co/uvboAlet04""","[{'text': 'CRISPR', 'indices': [23, 30]}, {'text': 'COVID', 'indices': [37, 43]}, {'text': 'PCR', 'indices': [85, 89]}]"
andrew_scoppa,,,256,78,4693,2017-03-09 18:36:49,2020-11-13 15:56:31,1473,"Covid-19?   

It is not nearly as frightening as Biden/Harris-20.",[]
mirella_rangel,Xicana mother & organizer working for justice @ Colibrí. #education #culture #plantitas y #bruja contra #fascismo. Speaking as an individual and queen of tipos.,"Oakland, California",1579,953,13830,2011-08-01 04:07:53,2020-11-13 15:56:31,0,"“If the entire law is struck down, Americans with pre-existing medical conditions could be disqualified from buying a health insurance policy. Having had COVID-19 could become one such pre-existing condition.” https://t.co/8oOx1EoNUM",[]
sertacdarcan,Stil & Marka Danışmanı / Moderatör / Moda Söyleşi Projeleri Yapar ...,,2550,6087,266215,2010-11-13 15:39:19,2020-11-13 15:56:31,0,@elonmusk @BillGates you are not believable! the world does not believe you !! #covid19 !!! stoppppp !!!,"[{'text': 'covid19', 'indices': [79, 87]}]"
Kevin4marshall,Passionate about #people #family #Community #Business #Technology #YMCA #Chamber of Commerce #Smallbusiness #Soccer #linkingpeople #vestige #golf #USA 🇺🇸,Bonita CA,1118,428,3079,2013-05-10 20:26:06,2020-11-13 15:56:30,0,Scary thing about this Friday  13th.......... is that it feels a lot like the start of Covid in March. We never would’ve thought it would’ve lasted seven months and it feels like it’s starting all over again. 🤬🤬🤬 take care of each other😷😷💞#FridayThe13th #COVID19,"[{'text': 'FridayThe13th', 'indices': [239, 253]}, {'text': 'COVID19', 'indices': [254, 262]}]"
MayorConger,Believer | Husband | Dad | Official Twitter for the 35th Mayor of @CityofJacksonTN,"Jackson, TN",1944,4216,4406,2009-04-08 21:49:14,2020-11-13 15:56:30,2,"We will host a special #COVID19 media briefing TODAY (Friday, Nov. 13) at 2 p.m. You can watch live on our Facebook page. https://t.co/7sQzHaYy7m","[{'text': 'COVID19', 'indices': [43, 51]}]"
Hun_Aram_e,,,137,127,16376,2016-05-25 17:07:11,2020-11-13 15:56:30,299,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
MonsterSidheart,#SidHeart,,37,11,585,2020-10-18 09:21:07,2020-11-13 15:56:30,761,"#SidharthShukla has the best WhatsApp joke on Covid-19. We agree
https://t.co/3e3vJXlVD4","[{'text': 'SidharthShukla', 'indices': [16, 31]}]"
HearnLita,,,222,71,3265,2013-03-09 04:19:23,2020-11-13 15:56:30,26,"Public Health Warns COVID-19 Community Transmission Continues to Increase at Concerning Levels - Public Health Reports 7 New Deaths and 2,533 New Confirmed Cases of #COVID19 in Los Angeles County.  View https://t.co/CMNfXPbnXQ https://t.co/qucpVGQAO2",[]
Crumlinfinglas,"Organic farmer, scientist. Diehard Dubs and Leinster fan. Views are my personal ones.","California, USA",395,397,55929,2013-06-23 18:17:31,2020-11-13 15:56:30,20743,"Instead of fighting to defeat the COVID-19 pandemic that has killed over 242,000 Americans, the Trump administration is spending its final days in office fighting a bogus voter ""fraud"" problem that does not exist. Pathetic. The Biden-Harris Administration cannot come soon enough.",[]
RicardoDWhite,🏳️‍🌈 Detroiter.,Detroit,1202,441,9113,2011-06-12 22:55:49,2020-11-13 15:56:30,359,"This is just staggering. @NBCNews has confirmed 159,501 new cases of COVID-19. This exceeds yesterday's single-day record of 148,302 cases.
 
This is the 9th day and 9th day in a row with over 100,000 cases reported.",[]
AnnaMatthei,,,146,19,109,2011-12-24 17:53:40,2020-11-13 15:56:30,6,"Online schooling: what lessons have we learnt from the first #COVID19 lockdown?

@EU_ScienceHub's new survey analysis finds that despite children adapting well to using #digital tools, parents would have benefited from more guidance👉 https://t.co/zWL3mgj7yq 
#EUDigitalEducation https://t.co/KEfWSHqxMg","[{'text': 'COVID19', 'indices': [80, 88]}]"
Segl03966132,,,150,34,1210,2019-10-20 20:51:09,2020-11-13 15:56:30,11,"Just a reminder that people talking about the #Casedemic are talking absolute bullshit (yes, even the ones who mention PCR thresholds as some kind of magic bullet against COVID-19)

https://t.co/BxTcTyYhH9","[{'text': 'Casedemic', 'indices': [57, 67]}]"
glenda60629422,"I love my family, food and doing for others.",,52,9,1544,2020-09-29 23:18:35,2020-11-13 15:56:30,352,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
cruise_guyy,Mass Communicator||WizkidFc||Chelsea💙||Cruise,Nigeria,515,271,10751,2019-09-27 17:17:52,2020-11-13 15:56:29,2003,BREAKING: The Egyptian FA confirms Mo Salah has tested positive for COVID-19 https://t.co/yBtx5qUamw,[]
mvdn777,,,1083,353,85537,2009-05-05 09:14:22,2020-11-13 15:56:29,0,"WOW!
Washington Post saying maybe up to 130 secret service agents have COVID-19 infections since Trumps rallies began

That is some fucked up shit",[]
Moon_Crater_,"🇵🇸 #Socialist #ToryLies #BDS #Palestine 🇵🇸 #KBF ✊🏼 #NWO #Snowden #Assange.
#Fitness + Mma 
Retweets R Not Endorsements.
Views R My Own.",UK,1033,498,4698,2020-09-22 05:45:07,2020-11-13 15:56:29,37,Elon Musk Says 4 Rapid Coronavirus Tests Gave Him Split Results https://t.co/hdUs0SMGOg,[]
FordhamCMS,"Communication and Media Studies is Fordham University's largest major. Catch up here on all our news about events, internships and jobs.",New York City,89,749,1674,2009-10-09 17:41:54,2020-11-13 15:56:29,0,"The Evolution of Employment: Job Searching During Covid 19
Confirmed date/time: Nov. 17th at 5:00 pm EST
Registration link: https://t.co/14SRJCPyNM 

Join career expert and GoinGlobal founder Mary Anne Thompson as she explores strategies and tactics for helping job seekers!",[]
Sp00The,Lifetime Banned from Twitter multiple times...,,17,1,240,2020-11-01 17:41:03,2020-11-13 15:56:29,0,@realDonaldTrump @BreitbartNews Please be sure to file your civil cases against trump early for the wrongful death of loved ones you lost to Covid-19. https://t.co/HrnoBGc4r7,[]
billkron,,"St. Paul, MN",684,360,14640,2007-11-09 17:54:41,2020-11-13 15:56:29,33,"https://t.co/Z6f5SATY2u

Saw this coming. Fake China Virus tests will be the new FAKE IDs for teenagers in the bar.",[]
Muhamma20877217,sochta bohat hun bolta bohat hun Lekin jab faisley ka waqt ata hey hmaesha der kardeta hun main # Main hun Pakistani #Love u IK,,364,63,644,2019-10-23 13:49:51,2020-11-13 15:56:29,299,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
the_concert_mom,"Motherfuckin Misfit Lunatic🎶
Only an insecure person would fear equality while standing on the neck of another...be the change you want to see in the world",,2072,1556,26095,2010-06-25 00:48:02,2020-11-13 15:56:29,40,"Pandemic completely out of control in Wisconsin. Contract tracing now impossible according to DHS. 

“COVID-19 is so bad in Wisconsin, DHS needed a whole new category” 

https://t.co/2eVx1OUwAN",[]
zulrizkii,"Anime,Real Madrid #HalaMadrid & Tottenham Hotspur #COYS",Jayapura & Sleman  ,203,846,94970,2013-04-18 00:08:35,2020-11-13 15:56:29,287,OFFICIAL: The Egyptian FA have confirmed Mohamed Salah has tested positive for COVID-19. https://t.co/dRcD5xR7O1,[]
rachitattweet,Working as a sales manager. Politician by thought and entrepreneur by way of living life. Writer and reading hobby,,439,1036,76720,2010-07-25 14:05:21,2020-11-13 15:56:29,299,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
ShyamMardi10,Waiting For PS5🎮 Launch,Official Twitter Account,293,52,6711,2011-05-31 02:42:27,2020-11-13 15:56:29,2003,BREAKING: The Egyptian FA confirms Mo Salah has tested positive for COVID-19 https://t.co/yBtx5qUamw,[]
Jawad007Ul,"Truth n Lies,
An Engineer,
Director of CECOS Literary Society.

132KV grid designer
Construction Manager",,151,45,426,2014-11-15 05:31:41,2020-11-13 15:56:29,299,"MashaAllah Pak moving towards economic recovery faster than any country in subcontinent &amp; this despite having to deal with Covid 19 challenge. LSM's impressive growth of 7.7% in Sept. Our Industrial Energy Package will help add capacity &amp; raise production.
https://t.co/sjRHDxIzwE",[]
Douglas30317544,Professor antifascista,,38,7,107,2020-07-05 16:00:22,2020-11-13 15:56:29,920,"School strike week 117. Because of new COVID-19 recommendations and the rapid spread, we’re back to #ClimateStrikeOnline .
If you strike, remember to keep distance and follow COVID-19 restrictions and recommendations.
#fridaysforfuture #schoolstrike4climate #flattenthecurve https://t.co/2W2d48vUhB","[{'text': 'ClimateStrikeOnline', 'indices': [119, 139]}]"
muhamadf4iz,Here's to the future because i'm done with the past 🚶🏻,rembau,175,191,14074,2013-03-13 12:51:59,2020-11-13 15:56:29,4029,"Small wedding. 55 attendees.
Temperature taken at entrance. No fevers reported.

Later, 177 infected.
7 died — and they didn’t even attend the wedding. https://t.co/n0xsPCqMi2",[]
DouglassMayer,"Partner at @Strat_Media, proud father, husband of @allisonsmayer, somewhere in the middle","Annapolis, Maryland",1260,1298,3860,2009-02-23 14:10:22,2020-11-13 15:56:29,1,"Governor Hogan VETOED this bill because he understood the impact of COVID-19 on our state economy and that this a bad time to raise taxes.

Stand with Governor Hogan and say no to this tax on Maryland small businesses → https://t.co/eUkpgQsKOu https://t.co/TcuPhsC8KJ",[]
OneHitWinter,"Atheist, roller skating pothead, I say things. 🚫NO DMs 🚫DO NOT put me on follow back list etc...",,250,206,6388,2020-09-23 18:45:01,2020-11-13 15:56:29,23,The only way Donald will ever care about deaths from COVID-19 is if someone tells him he killed enough Republicans in swing states to have made the difference. https://t.co/I44wlqHO5j,[]
artist4ever,Lifelong DEMOCRAT loathes trump and fauxgressives. I block 🌹& troll farm profiles. #WeHaveHerBack #KHive #BidenHarris2020,MD & CA,14881,26459,49370,2009-04-16 21:50:21,2020-11-13 15:56:29,353,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
clarky_on,I don’t give up,,1538,408,18222,2019-02-25 16:27:26,2020-11-13 15:56:29,2,I would really like answers to be public as part of a consultation process which has been lacking.I have read  all of the Maternity docs . These were written in 2016 and are out date and pre #COVID19 https://t.co/QMLe9nx1Um,[]
StalPatrick,"Floral & Event designer. Specializing in weddings. Love, Laugh, LIVE... that's my motto :-) BTW- I still wish HRC was president...","Brooklyn, NY",35,128,6004,2018-09-19 18:13:45,2020-11-13 15:56:29,1253,"The new administration's COVID-19 task force ushers in a new day for science and evidence-based policy-making. As a city, we look forward to working together to ensure the health of all Chicagoans. https://t.co/b5QNqDuCTe",[]
dfrye_art,#running enthusiast - 8x #marathoner - new #mom - avid #baker - #soccer follower - and #dog lover,"Minneapolis, MN",541,119,860,2013-12-20 20:29:14,2020-11-13 15:56:29,0,"I don't understand.
What is hard about wearing a mask?
Is it uncomfortable? Yes.
Is it ideal? No.
Is it forever? It is if we don't all just get over ourselves and freaking wear one for the time being. #COVID19","[{'text': 'COVID19', 'indices': [201, 209]}]"
WolfeJanise,send me sopressata Adventurous Cook. 3 rescue dogs 2 cats a 44 yr old parrot #MPOTUS #adoptdontshop #youmightbeasocialist #listeningto70’smusic  #FBR,"Little Rock, AR",4997,2925,19690,2015-08-13 01:31:53,2020-11-13 15:56:28,353,130 Secret Service agents are infected with COVID-19 because trump is a selfish asshole who unnecessarily put them all in harm's way. DISGRACEFUL!,[]
ioOhOhhOh,#อนุชนรักชาติศาสตร์กษัตริย์ #ราษฎรใต้ร่มพระบารมี,"Bangkok, Thailand",378,490,5710,2017-07-28 10:51:51,2020-11-13 15:56:28,170,"""#Thailand is an excellent example that with a whole-of-government, whole-of-soc""iety, comprehensive approach, this virus can be contained – even without a vaccine""-@DrTedros #COVID19 #WHA73 

https://t.co/exfqZyDf0D","[{'text': 'Thailand', 'indices': [10, 19]}]"
DeccanHerald,"Bangalore & Karnataka's leading news daily for over 72 years. Authentic, definitive, and fresh: like your morning filter coffee. Got a story? Tweet or DM us.",India,746,61120,247133,2011-03-18 10:02:16,2020-11-13 15:56:28,0,The trust said that a minute's silence will be held in his memory at the main entrance of Royal Derby Hospital at 11 am local time on Monday.  https://t.co/7Kah1zfvMn,[]
Janine_Spb,,,62,20,85,2018-01-16 13:10:54,2020-11-13 15:56:28,3,"Creative futures - 40 artists &amp; thinkers offer their solutions to COVID-19 and the future of the creative industry. ""How do we grow and change our systems of arts and media—systems, like our larger society, that have never been equitable or sustainable?"" 💬https://t.co/9TlhM7anQX",[]
yuni_shukri,"No matter your wreckage, there will be someone to find you beautiful, despite the cruddy metal. 
-Sarah Kay-",Pokok Sena ↭ Kubang Kerian,245,169,15388,2010-12-13 15:39:53,2020-11-13 15:56:28,4029,"Small wedding. 55 attendees.
Temperature taken at entrance. No fevers reported.

Later, 177 infected.
7 died — and they didn’t even attend the wedding. https://t.co/n0xsPCqMi2",[]
MGHToronto,"Official account of Michael Garron Hospital, Toronto East Health Network (formerly Toronto East General Hospital). We're on FB, Insta, LinkedIn & Youtube.",Toronto,2276,9446,14030,2011-03-16 00:15:28,2020-11-13 15:56:28,0,"Our temporary #COVID19 testing sites are still open and offer free testing for local residents of all ages who have symptoms of COVID-19 or who think they may be infected (even without symptoms). For hours and locations, see the posters or visit: https://t.co/QvKImskkbe (1/2) https://t.co/mqR01vM6Ou","[{'text': 'COVID19', 'indices': [14, 22]}]"
HPrynne,Positive iconoclast and smasher of clay feet,Denver,800,397,89684,2010-05-01 05:28:00,2020-11-13 15:56:28,40,"Pandemic completely out of control in Wisconsin. Contract tracing now impossible according to DHS. 

“COVID-19 is so bad in Wisconsin, DHS needed a whole new category” 

https://t.co/2eVx1OUwAN",[]
